id,name,description,ht_price,tva,state,sub_category,category_id,favorites,allergens,url
,Tagliere di Verdure grigliate e marinate,planche de legumes grillés et marinés,9,10,0,Antipasti,2,0,"""[]"" ",
,Mozzarella di Bufala Campana 125gr,,5.75,10,0,Antipasti,2,,"""[]"" ",
,Mozzarella di Bufala Campana Affumicata,Furnée a la paille de blé 125gr,7.18,10,0,Antipasti,2,,"""[]"" ",
,Burrata 125gr,,7.18,20,0,Antipasti,2,,"""[]"" ",
,Burrata a la truffe 125gr ,,9,20,0,Antipasti,2,,"""[]"" ",
,Tomates cerises marinées au pesto frais,,4.08,20,0,Antipasti,2,,"""[]"" ",
,Poivrons grillés et marinés ,,4.08,20,0,Antipasti,2,,"""[]"" ",
,Salade de roquette ,Au vinaigre Balsamique de modène,4.08,20,0,Antipasti,2,,"""[]"" ",
,Tagliere di Verdure grigliate e marinate,planche de legumes grillés et marinés,9,20,0,Antipasti,2,,"""[]"" ",
,Tagliere di Salumi italieni,Planche de charcuteries italiennes,9.08,20,0,Antipasti,2,,"""[]"" ",
,Tagliere di Antipasti misti,Planche de charcuteries italiennes et legumes grillés et marinés,9.08,20,0,Antipasti,2,,"""[]"" ",
,Ricard 4cl,,4.08,20,0,Aperitivo,4,,"""[]"" ",
,Martini 4cl Bianco et Rosso,,4.08,20,0,Aperitivo,4,,"""[]"" ",
,Verre de Tariquet 'Ière Grives’ Farnille Grassa,IGP côte de Gascogne,4.08,20,0,Aperitivo,4,,"""[]"" ",
,Kir,,4.08,20,0,Aperitivo,4,,"""[]"" ",
,Vittel 50cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Vittel 1L,,4.08,10,0,Soft,4,,"""[]"" ",
,San Pellegrino 50cl,,3.55,10,0,Soft,4,,"""[]"" ",
,San Pellegrino 1L,,4.08,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,Tomate,3.18,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,Pomme,3.18,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,Abricot,3.18,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,Ananas,3.18,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,Fraise,3.18,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,Orange,3.18,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,ACE,3.18,10,0,Soft,4,,"""[]"" ",
,Perrier 33cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Coca Cola 33cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Coca Cola Zero 33cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Orangina 25cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Sprite 33cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Fuzetea 20cl,,3.55,10,0,Soft,4,,"""[]"" ",
