id,name,description,ht_price,tva,state,sub_category,category_id,favorites,allergens,url
,Tagliere di Verdure grigliate e marinate,planche de legumes grillés et marinés,9,10,0,Antipasti,2,0,"""[]"" ",
,Mozzarella di Bufala Campana 125gr,,5.73,10,0,Antipasti,2,,"""[]"" ",
,Mozzarella di Bufala Campana Affumicata,Furnée a la paille de blé 125gr,7.18,10,0,Antipasti,2,,"""[]"" ",
,Burrata 125gr,,7.18,10,0,Antipasti,2,,"""[]"" ",
,Burrata a la truffe 125gr ,,9,10,0,Antipasti,2,,"""[]"" ",
,Tomates cerises marinées au pesto frais,,4.08,10,0,Antipasti,2,,"""[]"" ",
,Poivrons grillés et marinés ,,4.08,10,0,Antipasti,2,,"""[]"" ",
,Salade de roquette ,Au vinaigre Balsamique de modène,4.08,10,0,Antipasti,2,,"""[]"" ",
,Tagliere di Verdure grigliate e marinate,planche de legumes grillés et marinés,9,10,0,Antipasti,2,,"""[]"" ",
,Tagliere di Salumi italieni,Planche de charcuteries italiennes,9.08,10,0,Antipasti,2,,"""[]"" ",
,Tagliere di Antipasti misti,Planche de charcuteries italiennes et legumes grillés et marinés,9.08,10,0,Antipasti,2,,"""[]"" ",
,Ricard 4cl,,4.08,20,0,Aperitivo,4,,"""[]"" ",
,Martini 4cl Bianco et Rosso,,4.08,20,0,Aperitivo,4,,"""[]"" ",
,Verre de Tariquet 'Ière Grives’ Farnille Grassa,IGP côte de Gascogne,4.08,20,0,Aperitivo,4,,"""[]"" ",
,Kir,,4.08,20,0,Aperitivo,4,,"""[]"" ",
,Vittel 50cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Vittel 1L,,4.08,10,0,Soft,4,,"""[]"" ",
,San Pellegrino 50cl,,3.55,10,0,Soft,4,,"""[]"" ",
,San Pellegrino 1L,,4.08,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,Tomate,3.18,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,Pomme,3.18,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,Abricot,3.18,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,Ananas,3.18,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,Fraise,3.18,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,Orange,3.18,10,0,Soft,4,,"""[]"" ",
,Granini 25cl,ACE,3.18,10,0,Soft,4,,"""[]"" ",
,Perrier 33cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Coca Cola 33cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Coca Cola Zero 33cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Orangina 25cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Sprite 33cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Fuzetea 20cl,,3.55,10,0,Soft,4,,"""[]"" ",
,Tiramisu traditionnel,,4.92,10,0,Dolce,3,,"""[]"" ",
,Tiramisu speculoos,,4.92,10,0,Dolce,3,,"""[]"" ",
,Tiramisu dulce de leche,,4.92,10,0,Dolce,3,,"""[]"" ",
,Tiramisu Nutella,,4.92,10,0,Dolce,3,,"""[]"" ",
,Panna Cotta caramel au beurre salé,,4.92,10,0,Dolce,3,,"""[]"" ",
,Panna Cotta coulis fruits rouges,,4.92,10,0,Dolce,3,,"""[]"" ",
,Panna Cotta coulis fruits exotiques,,4.92,10,0,Dolce,3,,"""[]"" ",
,Panna Cotta Nutella,,4.92,10,0,Dolce,3,,"""[]"" ",
,"Tartare d’ananas, sorbet coco",,4.92,10,0,Dolce,3,,"""[]"" ",
,« Tarte » au citron meringuée…,Façon Zappo,5.73,10,0,Dolce,3,,"""[]"" ",
,Pizzeta Nutella,,5.73,10,0,Dolce,3,,"""[]"" ",
,Café gourmand,,5.73,10,0,Dolce,3,,"""[]"" ",
,Expresso,,1.91,10,0,Caffe,4,,"""[]"" ",
,Ristreto,,1.91,10,0,Caffe,4,,"""[]"" ",
,Expresso Macchiato,,2.27,10,0,Caffe,4,,"""[]"" ",
,Double Expresso,,3.45,10,0,Caffe,4,,"""[]"" ",
,Capuccino,,3.55,10,0,Caffe,4,,"""[]"" ",
,Chococcino,,4.08,10,0,Caffe,4,,"""[]"" ",
,Latte Macchiato Caramel,,4.08,10,0,Caffe,4,,"""[]"" ",
,Latte Macchiato Noix de Pecan,,4.08,10,0,Caffe,4,,"""[]"" ",
,Latte Macchiato Speculoos,,4.08,10,0,Caffe,4,,"""[]"" ",
,Latte Macchiato Amaretto,,5.73,10,0,Caffe,4,,"""[]"" ",
,Limoncelo Arechio,,4.08,20,0,Digestivo,4,,"""[]"" ",
,Amaretto Disarronno,,4.08,20,0,Digestivo,4,,"""[]"" ",
,EDV Grappa Borgo Antico,,4.08,20,0,Digestivo,4,,"""[]"" ",
,Peppermint Get 27,,4.08,20,0,Digestivo,4,,"""[]"" ",
,BaIlantine’s 4cl,,4.92,20,0,Digestivo,4,,"""[]"" ",
,Jack Daniel's,,5.73,20,0,Digestivo,4,,"""[]"" ",
,Jack Daniel’s Single Barrel,,7.42,20,0,Digestivo,4,,"""[]"" ",
,Lagunitas IPA 6.2° 33cl,"Robe blonde, citron, zeste d'orange, note florale, attaque sèche, agrumes, houblon ",5.73,20,0,Birra,4,,"""[]"" ",
,Vedett Extra White 4.7° 33cl,"Robe jaune pâle, mousse blanche, agrumes, coriandre, malt, levure, épices ",4.08,20,0,Birra,4,,"""[]"" ",
,Cuvée des Trolls 7° 25cl,"Robe blonde paille, fruits, fleurs, agrumes, malt, épices, levure, caramel ",4.92,20,0,Birra,4,,"""[]"" ",
,Adelscott 5.8° 33cl,"Robe ambrée, malt de whisky, fruits, note fumée Douce, amère, acide ",4.92,20,0,Birra,4,,"""[]"" ",
,Mort subite Kriek 4° 37.5cl,"Rouge cerise profond, gourmand, cerise fraîche bien mûre Sucrée & acidulée ",5.73,20,0,Birra,4,,"""[]"" ",
,Maredsous Brune 8° 33cl,"Robe brune foncée, mousse blanc cassé, caramel, fruits, agrumes, caramel ",4.08,20,0,Birra,4,,"""[]"" ",
,Delirium Tremens 8.5 33cl,"Robe blonde pâle, malt, épices Arrière-goût fort, long, sec-amer ",5.73,20,0,Birra,4,,"""[]"" ",
,Barbar 8° 33cl,"Robe blonde profond, mousse onctueuse Miel, épices, agrumes Douce, acide ",4.92,20,0,Birra,4,,"""[]"" ",
,Judas 8.5° 33cl,"Ocre, fruité orange/pèche, malt, miel, équilibrée, fine, amertume subtile ",4.92,20,0,Birra,4,,"""[]"" ",
,Chimay Rouge Trappiste 7° 33cl,"Robe ambrée, mousse épaisse, malt, caramel, abricot Bouche sèche ",4.08,20,0,Birra,4,,"""[]"" ",
