id,name,description,ttc_price,ht_price,tva,state,sub_category,category_id,favorites,allergens,url
,Tagliere di Verdure grigliate e marinate,planche de legumes grillés et marinés,9.9,9,10,1,Antipasti,2,1,[],""""""
,Mozzarella di Bufala Campana,"Mozzarella Appellation d'Origine Protégée, 125 gr",6.90,5.73,10,1,Antipasti,2,0,[],""""""
,Mozzarella di Bufala Campana Affumicata,Furnée a la paille de blé 125gr,7.90,7.18,10,1,Antipasti,2,0,[],""""""
,Burrata,"Fromage crémeux, originaire des Pouilles. 125gr",7.90,7.18,10,1,Antipasti,2,0,[],""""""
,Burrata a la truffe,"Fromage crémeux à la Truffe, originaire des Pouilles. 125gr",9.90,9,10,1,Antipasti,2,0,[],""""""
,Tomates cerises marinées au pesto frais,"""""",4.90,4.08,10,1,Antipasti,2,0,[],""""""
,Poivrons grillés et marinés ,"""""",4.90,4.08,10,1,Antipasti,2,0,[],""""""
,Salade de roquette ,Au vinaigre Balsamique de modène,4.90,4.08,10,1,Antipasti,2,0,[],""""""
,Tagliere di Verdure grigliate e marinate,planche de legumes grillés et marinés,9.90,9,10,1,Antipasti,2,0,[],""""""
,Tagliere di Salumi italieni,Planche de charcuteries italiennes,10.90,9.08,10,1,Antipasti,2,0,[],""""""
,Tagliere di Antipasti misti,Planche de charcuteries italiennes et legumes grillés et marinés,10.90,9.08,10,1,Antipasti,2,0,[],""""""
,Ricard,Apéritif anisé  4cl,4.90,4.08,20,1,Aperitivo,4,0,[],""""""
,Martini rosso,Apéritif 4 cl,4.90,4.08,20,1,Aperitivo,4,0,[],""""""
,Martini bianco,Apéritif 4 cl,4.90,4.08,20,1,Aperitivo,4,0,[],""""""
,Verre de Tariquet 'Ière Grives’ Farnille Grassa,IGP côte de Gascogne,4.90,4.08,20,1,Aperitivo,4,0,[],""""""
,Kir,"""""",4.90,4.08,20,1,Aperitivo,4,0,[],""""""
,Vittel 50cl,Eau minérale naturelle en provenance des Vosges (France) – 50 cl,3.90,3.55,10,1,Soft,4,0,[],""""""
,Vittel 1L,Eau minérale naturelle en provenance des Vosges (France) – 1l,4.90,4.08,10,1,Soft,4,0,[],""""""
,San Pellegrino 50cl,Eau minérale naturelle gazeuse – 50 cl,3.90,3.55,10,1,Soft,4,0,[],""""""
,San Pellegrino 1L,Eau minérale naturelle gazeuse – 1l,4.90,4.08,10,1,Soft,4,0,[],""""""
,Granini Tomate,Jus de tomate – 25cl,3.50,3.18,10,1,Soft,4,0,[],""""""
,Granini Pomme,Jus de pomme – 25cl,3.50,3.18,10,1,Soft,4,0,[],""""""
,Granini Abricot,Jus d’abricot – 25cl,3.50,3.18,10,1,Soft,4,0,[],""""""
,Granini Ananas,Jus d’ananas – 25cl,3.50,3.18,10,1,Soft,4,0,[],""""""
,Granini Fraise,Jus de fraise – 25cl,3.50,3.18,10,1,Soft,4,0,[],""""""
,Granini Orange,Jus d’orange – 25cl,3.50,3.18,10,1,Soft,4,0,[],""""""
,Granini ACE,"Jus à base de jus d’orange, de carrotes et de citron – 25 cl",3.50,3.18,10,1,Soft,4,0,[],""""""
,Perrier 33cl,Eau minérale naturellement gazeuse – 33 cl,3.90,3.55,10,1,Soft,4,0,[],""""""
,Coca Cola,33 cl,3.90,3.55,10,1,Soft,4,0,[],""""""
,Coca Cola Zero,33 cl,3.90,3.55,10,1,Soft,4,0,[],""""""
,Orangina,25 cl,3.90,3.55,10,1,Soft,4,0,[],""""""
,Sprite 33cl,Boisson gazeuse à base d'extraits de citron et de lime – 33 cl ,3.90,3.55,10,1,Soft,4,0,[],""""""
,Fuzetea,"Thé glacé, 20 cl",3.90,3.55,10,1,Soft,4,0,[],""""""
,Tiramisu traditionnel,"""""",5.90,4.92,10,1,Dolce,3,0,[],""""""
,Tiramisu speculoos,"""""",5.90,4.92,10,1,Dolce,3,0,[],""""""
,Tiramisu dulce de leche,"""""",5.90,4.92,10,1,Dolce,3,0,[],""""""
,Tiramisu Nutella,"""""",5.90,4.92,10,1,Dolce,3,0,[],""""""
,Panna Cotta caramel au beurre salé,"""""",5.90,4.92,10,1,Dolce,3,0,[],""""""
,Panna Cotta coulis fruits rouges,"""""",5.90,4.92,10,1,Dolce,3,0,[],""""""
,Panna Cotta coulis fruits exotiques,"""""",5.90,4.92,10,1,Dolce,3,0,[],""""""
,Panna Cotta Nutella,"""""",5.90,4.92,10,1,Dolce,3,0,[],""""""
,"Tartare d’ananas, sorbet coco","""""",5.90,4.92,10,1,Dolce,3,0,[],""""""
,« Tarte » au citron meringuée…,Façon Zappo,6.90,5.73,10,1,Dolce,3,0,[],""""""
,Pizzeta Nutella,"""""",6.90,5.73,10,1,Dolce,3,0,[],""""""
,Café gourmand,"""""",6.90,5.73,10,1,Dolce,3,0,[],""""""
,Expresso,"""""",2.10,1.91,10,1,Caffe,4,0,[],""""""
,Ristreto,"""""",2.10,1.91,10,1,Caffe,4,0,[],""""""
,Expresso Macchiato,"""""",2.5,2.27,10,1,Caffe,4,1,[],""""""
,Double Expresso,"""""",3.8,3.45,10,1,Caffe,4,0,[],""""""
,Capuccino,"""""",3.90,3.55,10,1,Caffe,4,0,[],""""""
,Chococcino,"""""",4.90,4.08,10,1,Caffe,4,0,[],""""""
,Latte Macchiato Caramel,"""""",4.90,4.08,10,1,Caffe,4,0,[],""""""
,Latte Macchiato Noix de Pecan,"""""",4.90,4.08,10,1,Caffe,4,0,[],""""""
,Latte Macchiato Speculoos,"""""",4.90,4.08,10,1,Caffe,4,0,[],""""""
,Latte Macchiato Amaretto,"""""",6.90,5.73,10,1,Caffe,4,0,[],""""""
,Limoncelo Arechio,"""""",4.90,4.08,20,1,Digestivo,4,0,[],""""""
,Amaretto Disarronno,"""""",4.90,4.08,20,1,Digestivo,4,0,[],""""""
,EDV Grappa Borgo Antico,"""""",4.90,4.08,20,1,Digestivo,4,0,[],""""""
,Peppermint Get 27,"""""",4.90,4.08,20,1,Digestivo,4,0,[],""""""
